"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"ES52","ES",5029341,216.2,223082,15.5,12,12,328888,83.5,913.8,64922,231.9,19660,23401,3161734,63490,637750,16.2,52296.6,3420227.5,116015.25,110.9,0.00370466031235504,0.0705305128445258,39.3945,-0.54
"ES53","ES",1210725,241.2,25261,21.3,18.2,11.3,72230,84.2,696.86,18315,287.46,4400,40285,894665,7510,176280,16.1,14678.6,893071.8,33799.28,112.9,0.00421152615168597,0.0416766813273039,39.6075,2.9634
"ES61","ES",8478083,97.4,344735,21.8,17.2,9.6,585983,82.6,864.81,74637,217.98,31430,30414,5184724,242240,4369000,22.3,74880.5,5145657,165865.23,110.6,0.00260636750076639,0.0526700434520398,37.4607,-4.5804
"ES62","ES",1504869,132.4,69642,18.7,12.4,12.8,110298,82.9,764.5,19154,325.41,6766,22,965936,40490,375860,16.2,14917.1,1061000.4,32356.07,109.9,0.00259756829331988,0.0673739707575875,37.9999,-1.4907
"ES63","ES",84085,4222.9,2677,25.5,18.9,9,7827,81.4,629.27,627,211.94,765,17601.9333333333,50245,0,0,24.5,998.4,51526.2,1765.16,107.2,0.00240233097460903,0.0508176250222989,35.8958,-5.3543
"ES64","ES",84473,6041.5,2948,22.8,22.8,10.5,8346,81.4,609.22,613,190.35,765,428,60568,0,0,23.6,908.6,49001.5,1621.83,108.7,0.0025451919548258,0.0773501592224735,35.297,-2.9509
"ES70","ES",2236992,299.4,70349,18.2,19.7,10.2,125972,83.5,744.08,24076,290.96,8765,40035,1583502,21990,52210,22.6,21737.4,1416989.8,47164.2,111.2,0.00183639458701685,0.0157063592538552,28.2457,-16.5646
"FI19","FI",1378652,23.7,78986,8.1,10.5,25.6,94257,82.3,1044.96,21381.3042603864,333.02,4629,667,1185530,19320,791180,7.7,24284.21,994183.02,52966.94,106.2,0.000522974615784114,0.00555107452787215,62.3222,23.7142
"FI1B","FI",1689725,184.7,91651,8,7.6,30.8,113557,82.4,728.54,26205.6881224423,274.76,7031,22049,1072690,3360,181470,7.2,43118.33,1452428.95,94961.07,111,0.00326384470845848,0.0148976904525884,60.3817,24.7512
"FI20","FI",29884,19.2,521,8.225,9.35,25.4,1978,83.9,910.96,463.466412493789,392.14,63,52,30918,560,19550,7.85,719.57,28751.89,1358.82,94.7,0.000568866282960782,0.00378128764556284,60.2653,20.0931
